NextGen MechanismID,LegacyMechanismID,NextGenOU,UnitID,LegacyOU,UnitId
100003,16661,Barbados,10,Caribbean Region,165
100004,17366,Barbados,10,Caribbean Region,165
100007,17469,Barbados,10,Caribbean Region,165
100012,17809,Barbados,10,Caribbean Region,165
100018,17919,Barbados,10,Caribbean Region,165
100022,17921,Barbados,10,Caribbean Region,165
100026,18183,Barbados,10,Caribbean Region,165
100044,12587,Barbados,10,Caribbean Region,165
100051,12542,Barbados,10,Caribbean Region,165
100056,18392,Barbados,10,Caribbean Region,165
100059,18395,Barbados,10,Caribbean Region,165
100066,18405,Barbados,10,Caribbean Region,165
100064,18398,Barbados,10,Caribbean Region,165
100071,18427,Barbados,10,Caribbean Region,165
100075,18549,Barbados,10,Caribbean Region,165
100084,80061,Barbados,10,Caribbean Region,165
100206,16482,Barbados,10,Caribbean Region,165
100207,16482,Guyana,64,Caribbean Region,165
100085,80061,Guyana,64,Caribbean Region,165
100076,18549,Guyana,64,Caribbean Region,165
100072,18427,Guyana,64,Caribbean Region,165
100080,18577,Guyana,64,Caribbean Region,165
100065,18398,Guyana,64,Caribbean Region,165
100050,12542,Guyana,64,Caribbean Region,165
100070,18406,Guyana,64,Caribbean Region,165
100067,18405,Guyana,64,Caribbean Region,165
100057,18394,Guyana,64,Caribbean Region,165
100053,18187,Guyana,64,Caribbean Region,165
100054,18188,Guyana,64,Caribbean Region,165
100055,18190,Guyana,64,Caribbean Region,165
100031,18184,Guyana,64,Caribbean Region,165
100039,12588,Guyana,64,Caribbean Region,165
100027,18183,Guyana,64,Caribbean Region,165
100033,13534,Guyana,64,Caribbean Region,165
100019,17919,Guyana,64,Caribbean Region,165
100013,17809,Guyana,64,Caribbean Region,165
100000,16661,Guyana,64,Caribbean Region,165
100008,17469,Guyana,64,Caribbean Region,165
100208,16482,Jamaica,75,Caribbean Region,165
100073,18427,Jamaica,75,Caribbean Region,165
100077,18549,Jamaica,75,Caribbean Region,165
100081,18578,Jamaica,75,Caribbean Region,165
100083,80061,Jamaica,75,Caribbean Region,165
100001,16661,Jamaica,75,Caribbean Region,165
100011,17760,Jamaica,75,Caribbean Region,165
100017,17902,Jamaica,75,Caribbean Region,165
100014,17809,Jamaica,75,Caribbean Region,165
100020,17919,Jamaica,75,Caribbean Region,165
100023,17921,Jamaica,75,Caribbean Region,165
100034,12645,Jamaica,75,Caribbean Region,165
100035,12642,Jamaica,75,Caribbean Region,165
100038,12588,Jamaica,75,Caribbean Region,165
100030,18183,Jamaica,75,Caribbean Region,165
100052,12542,Jamaica,75,Caribbean Region,165
100043,12587,Jamaica,75,Caribbean Region,165
100046,12575,Jamaica,75,Caribbean Region,165
100047,12567,Jamaica,75,Caribbean Region,165
100060,18395,Jamaica,75,Caribbean Region,165
100062,18396,Jamaica,75,Caribbean Region,165
100068,18405,Jamaica,75,Caribbean Region,165
100209,16482,Suriname,136,Caribbean Region,165
100082,18580,Suriname,136,Caribbean Region,165
100086,80061,Suriname,136,Caribbean Region,165
100078,18549,Suriname,136,Caribbean Region,165
100074,18427,Suriname,136,Caribbean Region,165
100049,12542,Suriname,136,Caribbean Region,165
100037,12588,Suriname,136,Caribbean Region,165
100042,12587,Suriname,136,Caribbean Region,165
100028,18183,Suriname,136,Caribbean Region,165
100024,17921,Suriname,136,Caribbean Region,165
100015,17809,Suriname,136,Caribbean Region,165
100009,17469,Suriname,136,Caribbean Region,165
100005,17366,Suriname,136,Caribbean Region,165
100210,16482,Trinidad and Tobago,144,Caribbean Region,165
100006,17366,Trinidad and Tobago,144,Caribbean Region,165
100010,17469,Trinidad and Tobago,144,Caribbean Region,165
100016,17809,Trinidad and Tobago,144,Caribbean Region,165
100002,16661,Trinidad and Tobago,144,Caribbean Region,165
100025,17921,Trinidad and Tobago,144,Caribbean Region,165
100021,17919,Trinidad and Tobago,144,Caribbean Region,165
100029,18183,Trinidad and Tobago,144,Caribbean Region,165
100036,12588,Trinidad and Tobago,144,Caribbean Region,165
100041,12587,Trinidad and Tobago,144,Caribbean Region,165
100032,13534,Trinidad and Tobago,144,Caribbean Region,165
100048,12542,Trinidad and Tobago,144,Caribbean Region,165
100045,12575,Trinidad and Tobago,144,Caribbean Region,165
100069,18405,Trinidad and Tobago,144,Caribbean Region,165
100063,18396,Trinidad and Tobago,144,Caribbean Region,165
100061,18395,Trinidad and Tobago,144,Caribbean Region,165
100058,18394,Trinidad and Tobago,144,Caribbean Region,165
100079,18549,Trinidad and Tobago,144,Caribbean Region,165
100087,80061,Trinidad and Tobago,144,Caribbean Region,165
100162,80051,Nicaragua,105,Central America Region,166
100157,18371,Nicaragua,105,Central America Region,166
100152,18349,Nicaragua,105,Central America Region,166
100147,17899,Nicaragua,105,Central America Region,166
100133,16585,Nicaragua,105,Central America Region,166
100142,17895,Nicaragua,105,Central America Region,166
100137,17894,Nicaragua,105,Central America Region,166
100128,17408,Nicaragua,105,Central America Region,166
