indicator_code,dx,technical_area,technical_area_uid,num_or_den,num_or_den_uid,disagg_type,disagg_type_uid,pe,age_set,sex_set,kp_set,other_disagg,allocate
GEND_GBV.PE.T,DE_GROUP-TXAVaM4oYMd,GEND_GBV,vw3VoiA4D0s,Numerator,Som9NRMQqV7,ViolenceServiceType,QEpxdKlM3zh,2023Oct,NA,NA,NA,vt_pe,distribute
GEND_GBV.S.T,DE_GROUP-TXAVaM4oYMd,GEND_GBV,vw3VoiA4D0s,Numerator,Som9NRMQqV7,ViolenceServiceType,QEpxdKlM3zh,2023Oct,NA,NA,NA,vt_sv,distribute
HTS_SELF.T,DE_GROUP-TXAVaM4oYMd,HTS_SELF,hGUykTtC0Xm,Numerator,Som9NRMQqV7,Age/Sex,Qbz6SrpmJ1y,2023Oct,fy24_age_bands,F/M,NA,NA,distribute
HTS_TST.PostANC1.Neg.T,DE_GROUP-TXAVaM4oYMd,HTS_TST,f5IPTM7mieH,Numerator,Som9NRMQqV7,PMTCT PostANC/Age/Sex/Result,PTL2kxpEOg3,2023Oct,fy24_age_bands,F,NA,tr_neg,distribute
HTS_TST.PostANC1.Pos.T,DE_GROUP-TXAVaM4oYMd,HTS_TST,f5IPTM7mieH,Numerator,Som9NRMQqV7,PMTCT PostANC/Age/Sex/Result,PTL2kxpEOg3,2023Oct,fy24_age_bands,F,NA,tr_pos,distribute
HTS_TST.STI.Neg.T,DE_GROUP-TXAVaM4oYMd,HTS_TST,f5IPTM7mieH,Numerator,Som9NRMQqV7,STI Clinic/Age/Sex/Result,kkfFCChSw4k,2023Oct,fy24_age_bands,F/M,NA,tr_neg,distribute
HTS_TST.STI.Pos.T,DE_GROUP-TXAVaM4oYMd,HTS_TST,f5IPTM7mieH,Numerator,Som9NRMQqV7,STI Clinic/Age/Sex/Result,kkfFCChSw4k,2023Oct,fy24_age_bands,F/M,NA,tr_pos,distribute
HTS_TST.KP.Neg.T,DE_GROUP-TXAVaM4oYMd,HTS_TST,f5IPTM7mieH,Numerator,Som9NRMQqV7,KeyPop/Result,UkvLXoUn0wG,2023Oct,NA,NA,kp1,tr_neg,distribute
HTS_TST.KP.Pos.T,DE_GROUP-TXAVaM4oYMd,HTS_TST,f5IPTM7mieH,Numerator,Som9NRMQqV7,KeyPop/Result,UkvLXoUn0wG,2023Oct,NA,NA,kp1,tr_pos,distribute
HTS_SELF.KP.T,DE_GROUP-TXAVaM4oYMd,HTS_SELF,hGUykTtC0Xm,Numerator,Som9NRMQqV7,KeyPop,OoC9KSMqBms,2023Oct,NA,NA,kp1,NA,distribute
